bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
58282,857d950f28c905da85cb17be01e26684d71df6e4,242,3,239,0.21613293886184692,0.5926666259765625
59351,ec74b1b6ed944e883b58aa684be3e282485fd99a,24,13,11,0.394451379776001,0.2223622053861618
65325,1b2d9206dae2041f054917985a841c09a59f2aa4,145,155,-10,0.4902975559234619,0.01897803694009781
66225,74a8aed46b978b92b598135fc04b15c6cc7a4edd,20,1,19,0.5265870094299316,0.7793218493461609
69561,18ac8137b25f06f1070d6b0685feb140a1b3ae60,113,169,-56,0.4473307430744171,0.01342825498431921
70413,b78b9c4ee16d33d3df97e36141d5d65ea04b9615,59,74,-15,0.433337539434433,0.052618954330682755
70413,f0df17fc3040d6b79862ac2d9d051f3be1b2daad,208,86,122,0.39794546365737915,0.04288224130868912
70638,a40d219ef2eb00fc3cb837e341fc84161c5944d9,179,31,148,0.4714394211769104,0.4104017913341522
73983,953c78dce213862fceff87c9a4b5d6cf85126d61,233,153,80,0.48311808705329895,0.018264278769493103
75275,1b4e980e5bb539b0dc26db03cbe599d0c7e5e282,162,105,57,0.3801453709602356,0.030214589089155197
79006,efcadb229ccf1a5791184c2f02d8e69daedee64c,107,45,62,0.3157294988632202,0.1718936413526535
79006,73d5a8a51c7d3a356474e32bb27987df5eb3f58b,84,249,-165,0.3235224485397339,0.0012448433553799987
79006,3731351774dc2cc9947a8dd55a9ce1f516c70c18,135,110,25,0.30551111698150635,0.05165378749370575
79432,dc95e8e095766aebcb0ad4e44f65aaec4c3d02e5,138,4,134,0.4077718257904053,0.5078118443489075
79862,c7a36fad264222d2a5e65cfe9cd61c29f372b157,47,2,45,0.46679046750068665,0.6909762620925903
80863,190e84099c19e02aac510548fe245192848fda05,91,19,72,0.4122607707977295,0.4402286112308502
81188,d17704d31bd1caf0b038ed46238aee068aaa459b,265,10,255,0.4234999418258667,0.5156199336051941
82179,93355b5fceff674d3d33220f99d5370667cae99a,144,32,112,0.32858893275260925,0.08064661920070648
