bug_id,gt_blob_sha,faiss_rank,model_rank,rank_displacement,faiss_score,model_score
jupyterlab__jupyterlab-3481,3df8653aad1d14207c80272aac02196366c91909,853,5,848,0.14771632850170135,-0.587889552116394
jupyterlab__jupyterlab-1222,163571707f45624db7ebf98d2a29fc84c7e571a4,20,9,11,0.3963468670845032,-0.6029524803161621
jupyterlab__jupyterlab-1222,e1b3101e794c3d96a9f24daf7d779c7695f53430,29,1,28,0.3430691659450531,-0.5921430587768555
jupyterlab__jupyterlab-8324,5a101d779faf58893b3da7f2419947347dae828e,571,9,562,0.2693433165550232,-0.6060943603515625
jupyterlab__jupyterlab-5723,0ca03a5121481881ae3edcd08d61eca6455b47f6,501,5,496,0.3198379874229431,-0.5995534658432007
jupyterlab__jupyterlab-8956,4bb7624ee6674515646873e269e08b72ac258f8a,1197,286,911,0.2673693001270294,-3.739710807800293
jupyterlab__jupyterlab-1503,f386174b692dd18c696aeb806288400db4f79108,130,8,122,0.266759991645813,-0.6016051769256592
jupyterlab__jupyterlab-1503,d57097950ad913dfac4bf319fdabc93e7c63c7c6,278,7,271,0.20784816145896912,-0.6009166240692139
jupyterlab__jupyterlab-2410,5fba5dfd7c000902eb67c6238a2e608ce33e0b4f,606,7,599,0.10914197564125061,-0.5993611812591553
jupyterlab__jupyterlab-2841,d045e85dccf53533e670e6d7af5f2abe14de7e54,463,1,462,0.2399817258119583,-0.5869666337966919
jupyterlab__jupyterlab-9390,2b832a1977dfa6766af5626a61fcef5d0f99fd49,1144,9,1135,0.22484806180000305,-0.6056698560714722
jupyterlab__jupyterlab-3107,656fc38fefabcc786ca041756d0c8b5dd8141f3e,856,9,847,0.1137249544262886,-0.6082035899162292
jupyterlab__jupyterlab-7723,0de688edaac853a931d3b76baba72ce0097d5b62,345,12,333,0.3776922821998596,-0.6020654439926147
jupyterlab__jupyterlab-2409,6b0ced67b0e8d97f587e6bf3d6fe98c10af50820,630,6,624,0.09562452137470245,-0.5987743139266968
jupyterlab__jupyterlab-2215,eb5079b6741359e9ebda17d938d09c52e50ef63e,476,10,466,0.24792376160621643,-0.6060051918029785
jupyterlab__jupyterlab-3127,0cf5ecbfafbeb2b77335e555c9117bb6ca0a4f97,69,16,53,0.315201997756958,-0.6081123948097229
jupyterlab__jupyterlab-6451,6044127f84d5ccf60cec1869a526c823962b830d,111,6,105,0.419683039188385,-0.5861473083496094
jupyterlab__jupyterlab-12680,2f543d15e32f57214c3413ebab74ff89bb52810e,1202,1,1201,0.3959032893180847,-0.5578885674476624
jupyterlab__jupyterlab-2038,c57a9eee02105f3d8e8ca55de8a096d13b536b82,36,5,31,0.4235003590583801,-0.6022172570228577
jupyterlab__jupyterlab-2759,5e52c5e802fa0b77ee65bfbe892a08244aef58fd,565,2,563,0.18377362191677094,-0.5866875648498535
jupyterlab__jupyterlab-2759,4f216705a888de6e3cf0b972fd731c4a4749c446,707,10,697,0.11360681056976318,-0.6052793264389038
jupyterlab__jupyterlab-4920,0ea7d024bb5f0fb8898ee5e7532de4ba7af50121,308,6,302,0.28752046823501587,-0.6016250848770142
jupyterlab__jupyterlab-8779,7e00504041a5dab0947321cf05751c1ca46cba2f,891,4,887,0.3630986213684082,-0.5953439474105835
